image_dr,Nome do an ncio,Tipo de resultado,Resultados,Valor usado (BRL),file_path
001.jpg,00 - AD - [BURGER DO M S] AGOSTO,Compras no site,566,581.56,stakeholder_images\001.jpg
002.jpg,00 - AD - [BURGER DO M S] JULHO,Compras no site,60,105.64,stakeholder_images\002.jpg
003.jpg,00 - AD - [BURGER DO M S] JUNHO,Compras no site,8,7.64,stakeholder_images\003.jpg
004.jpg,00 - AD01 - [FOTO] Smash todo dia!,Compras no site,100,187.5,stakeholder_images\004.jpg
005.jpg,00 - AD02 - VENDAS,Compras no site,149,171.85,stakeholder_images\005.jpg
006.jpg,00 - AD03 - VENDAS,Compras no site,323,348.36,stakeholder_images\006.jpg
007.jpg,00 - AD04 - VENDAS,Compras no site,429,464.88,stakeholder_images\007.jpg
008.jpg,00 - AD05 - SMASHDAY,,1,0.19,stakeholder_images\008.jpg
009.jpg,01 - AD - [BURGER DO M S] JULHO,Compras no site,157,154.53,stakeholder_images\009.jpg
010.jpg,01 - AD01 - VENDAS,Compras no site,635,334.19,stakeholder_images\010.jpg
011.jpg,01 - AD02 - [FOTO] Smash todo dia!,Compras no site,1081,819.49,stakeholder_images\011.jpg
012.jpg,01 - AD03 - VENDAS,Compras no site,1594,1102.88,stakeholder_images\012.jpg
013.jpg,01 - AD04 - VENDAS,Compras no site,128,124.42,stakeholder_images\013.jpg
014.jpg,01 - AD05 - SMASHDAY,,0,0.2,stakeholder_images\014.jpg
015.jpg,AD01 - [FOTO] ?? Toda ter a tem,Compras no site,59,68.9,stakeholder_images\015.jpg
016.jpg,AD01 - [VIDEO] Especial do M s - Agosto,Visualiza  es da p gina de destino,191,111.51,stakeholder_images\016.jpg
017.jpg,AD01 - [VIDEO] Smash de Julho,Alcance,11,34.28,stakeholder_images\017.jpg
018.jpg,AD01 - CAPTA  O,Engajamentos com o post,37,36.27,stakeholder_images\018.jpg
019.jpg,AD01 - INAUGURA  O,Visitas ao perfil do Instagram,1315,237.29,stakeholder_images\019.jpg
020.jpg,AD02 - [VIDEO] Galliate sempre,Alcance,44,135.98,stakeholder_images\020.jpg
021.jpg,AD02 - [VIDEO] Promo da Ter a,Visualiza  es da p gina de destino,231,140.9,stakeholder_images\021.jpg
022.jpg,AD02 - INAUGURA  O,Visitas ao perfil do Instagram,1,0.21,stakeholder_images\022.jpg
023.jpg,AD03 - [VIDEO] Galliate. o melhor rem dio,Alcance,42,130.38,stakeholder_images\023.jpg
024.jpg,AD03 - [VIDEO] Recomendados,Visualiza  es da p gina de destino,164,97.55,stakeholder_images\024.jpg
025.jpg,AD03 - CAPTA  O,Engajamentos com o post,19,26.95,stakeholder_images\025.jpg
026.jpg,AD04 - [VIDEO] Combo Kids,Alcance,31,126.42,stakeholder_images\026.jpg
027.jpg,AD04 - CAPTA  O,Engajamentos com o post,2,95.44,stakeholder_images\027.jpg
028.jpg,AD05 - [VIDEO] ESPECIAL DE SETEMBRO,Alcance,23,75.0,stakeholder_images\028.jpg
029.jpg,AD05 - CAPTA  O,Engajamentos com o post,1,11.65,stakeholder_images\029.jpg
030.jpg,AD06 - CAPTA  O,Engajamentos com o post,3,402.99,stakeholder_images\030.jpg
031.jpg,AD07 - CAPTA  O,Engajamentos com o post,0,225.55,stakeholder_images\031.jpg
032.jpg,AD08 - CAPTA  O,Engajamentos com o post,2,203.61,stakeholder_images\032.jpg
033.jpg,AD09  - [VIDEO] TODA TER A!,Engajamentos com o post,0,131.91,stakeholder_images\033.jpg
034.jpg,AD10  - [VIDEO] Parab ns pra mim e pra voc  tamb m ??,Engajamentos com o post,0,31.69,stakeholder_images\034.jpg
035.jpg,AD11  - [VIDEO] Se   Galliate. voc  j  sabe: Quem come vira f ! ?,Engajamentos com o post,1,118.51,stakeholder_images\035.jpg
